ShowID,Type,Title,Country,ReleaseYear,DateAdded,Rating,Genre,DurationMinutes,Seasons
s601,TV Show,Title_601,Spain,2021,2022-09-22,TV-MA,Anime,,8.0
s9,Movie,Title_9,Australia,2020,2021-08-15,G,Sci-Fi,101.0,
s109,Movie,Title_109,United Kingdom,2021,2022-12-04,TV-MA,Crime,133.0,
s633,Movie,Title_633,United Kingdom,2024,2024-11-02,TV-PG,Thriller,147.0,
s541,TV Show,Title_541,India,2023,2024-04-08,PG-13,Documentary,,5.0
s58,Movie,Title_58,France,2023,2024-01-19,R,Documentary,143.0,
s438,Movie,Title_438,Australia,2021,2021-06-25,TV-MA,Anime,148.0,
s275,TV Show,Title_275,United Kingdom,2023,2023-08-19,PG-13,Drama,,4.0
s749,Movie,Title_749,Japan,2015,2017-06-02,TV-14,Anime,158.0,
s579,TV Show,Title_579,United States,2022,2024-04-22,PG-13,Action,,7.0
s652,Movie,Title_652,India,2021,2022-06-20,TV-MA,Thriller,145.0,
s152,TV Show,Title_152,Canada,2023,2023-09-02,TV-14,Drama,,7.0
s524,Movie,Title_524,Canada,2021,2023-07-20,TV-PG,Documentary,81.0,
s675,Movie,Title_675,United Kingdom,2020,2020-10-15,TV-MA,Action,176.0,
s6,Movie,Title_6,France,2021,2023-12-17,PG-13,Kids,143.0,
s720,TV Show,Title_720,United States,2012,2013-11-13,PG-13,Action,,4.0
s26,TV Show,Title_26,Japan,2019,2021-11-06,PG-13,Anime,,8.0
s505,TV Show,Title_505,Japan,2019,2021-07-22,TV-14,Action,,7.0
s65,Movie,Title_65,Spain,2021,2021-04-08,TV-14,Thriller,80.0,
s674,TV Show,Title_674,Brazil,2018,2020-12-14,PG,Thriller,,7.0
s264,Movie,Title_264,South Korea,2021,2021-09-20,TV-14,Kids,88.0,
s245,TV Show,Title_245,Japan,2019,2019-09-08,TV-MA,Drama,,7.0
s410,TV Show,Title_410,Spain,2022,2024-02-18,TV-14,Drama,,7.0
s320,Movie,Title_320,Germany,2019,2019-02-04,R,Horror,179.0,
s392,Movie,Title_392,South Korea,2009,2011-08-16,TV-MA,Sci-Fi,140.0,
s721,TV Show,Title_721,United States,2019,2020-03-06,R,Documentary,,3.0
s465,Movie,Title_465,Brazil,2024,2024-06-14,G,Action,111.0,
s548,Movie,Title_548,Germany,2023,2024-02-17,TV-14,Comedy,121.0,
s13,TV Show,Title_13,Brazil,2024,2024-02-16,TV-14,Horror,,4.0
s669,Movie,Title_669,Australia,2019,2020-07-19,PG-13,Sci-Fi,73.0,
s717,Movie,Title_717,United Kingdom,2022,2024-05-09,TV-MA,Anime,103.0,
s54,TV Show,Title_54,Canada,2018,2019-12-04,R,Crime,,7.0
s121,Movie,Title_121,Spain,2023,2023-01-18,TV-PG,Kids,148.0,
s603,TV Show,Title_603,Canada,2018,2019-07-03,R,Anime,,6.0
s176,Movie,Title_176,Australia,2021,2023-01-19,TV-MA,Drama,157.0,
s21,TV Show,Title_21,Australia,2019,2021-05-19,G,Sci-Fi,,8.0
s559,Movie,Title_559,United States,2009,2010-03-05,TV-PG,Drama,134.0,
s16,Movie,Title_16,France,2018,2019-05-22,TV-14,Sci-Fi,159.0,
s304,Movie,Title_304,India,2023,2023-02-18,TV-MA,Documentary,61.0,
s663,Movie,Title_663,Canada,2024,2024-11-01,TV-MA,Anime,87.0,
s445,Movie,Title_445,France,2022,2024-08-15,TV-14,Documentary,131.0,
s359,Movie,Title_359,France,2016,2018-10-16,TV-PG,Romance,96.0,
s558,Movie,Title_558,Germany,2022,2023-10-07,TV-Y7,Thriller,64.0,
s619,Movie,Title_619,India,2017,2017-05-26,TV-MA,Thriller,118.0,
s146,TV Show,Title_146,Canada,2020,2022-12-09,TV-MA,Kids,,6.0
s194,Movie,Title_194,Spain,2021,2021-02-16,TV-Y,Action,63.0,
s2,Movie,Title_2,Canada,2024,2024-11-24,TV-14,Documentary,99.0,
s266,TV Show,Title_266,Mexico,2022,2024-05-09,PG-13,Documentary,,7.0
s684,Movie,Title_684,India,2022,2023-02-22,TV-MA,Sci-Fi,128.0,
s308,Movie,Title_308,India,2021,2021-09-22,G,Romance,152.0,
s367,Movie,Title_367,South Korea,2021,2021-02-03,TV-PG,Romance,159.0,
s650,TV Show,Title_650,Japan,2009,2010-01-13,PG-13,Thriller,,7.0
s434,Movie,Title_434,South Korea,2008,2009-06-10,TV-14,Crime,125.0,
s692,Movie,Title_692,France,2016,2018-08-20,TV-14,Anime,143.0,
s208,TV Show,Title_208,South Korea,2021,2022-10-05,PG-13,Drama,,8.0
s762,Movie,Title_762,United States,2019,2021-02-25,PG-13,Horror,149.0,
s349,Movie,Title_349,Germany,2023,2023-05-23,TV-MA,Kids,105.0,
s554,Movie,Title_554,France,2019,2020-10-13,TV-14,Romance,143.0,
s34,Movie,Title_34,Brazil,2008,2010-09-04,R,Documentary,71.0,
s189,Movie,Title_189,Australia,2015,2017-05-22,PG-13,Documentary,161.0,
s150,Movie,Title_150,South Korea,2019,2021-11-23,TV-MA,Crime,158.0,
s430,Movie,Title_430,United States,2012,2012-03-03,TV-MA,Comedy,114.0,
s747,TV Show,Title_747,Canada,2015,2016-01-24,PG-13,Drama,,2.0
s149,Movie,Title_149,United States,2021,2023-09-07,TV-14,Documentary,150.0,
s517,TV Show,Title_517,Germany,2021,2021-04-26,TV-14,Horror,,4.0
s673,Movie,Title_673,South Korea,2022,2022-06-22,TV-MA,Horror,99.0,
s559,Movie,Title_559,United States,2009,2010-03-05,TV-PG,Drama,134.0,
s181,Movie,Title_181,Germany,2023,2024-09-06,TV-MA,Romance,77.0,
s117,TV Show,Title_117,Mexico,2022,2023-04-10,TV-MA,Thriller,,5.0
s626,Movie,Title_626,France,2021,2022-08-03,TV-MA,Crime,94.0,
s257,Movie,Title_257,South Korea,2015,2017-02-22,TV-MA,Drama,108.0,
s331,TV Show,Title_331,United Kingdom,2013,2014-12-19,TV-MA,Documentary,,4.0
s503,Movie,Title_503,Australia,2015,2015-03-11,PG-13,Sci-Fi,167.0,
s642,Movie,Title_642,Brazil,2023,2023-07-13,G,Horror,82.0,
s75,TV Show,Title_75,India,2016,2018-09-10,TV-MA,Sci-Fi,,4.0
s539,Movie,Title_539,Australia,2024,2024-12-08,TV-MA,Crime,162.0,
s723,TV Show,Title_723,Australia,2022,2024-03-16,TV-MA,Anime,,5.0
s220,Movie,Title_220,India,2023,2023-02-12,PG-13,Sci-Fi,144.0,
s540,Movie,Title_540,India,2023,2024-12-05,PG,Crime,166.0,
s399,TV Show,Title_399,Japan,2015,2016-12-27,TV-MA,Action,,7.0
s28,Movie,Title_28,Australia,2015,2016-01-20,TV-14,Comedy,115.0,
s273,Movie,Title_273,Mexico,2014,2014-01-04,TV-MA,Horror,144.0,
s229,Movie,Title_229,South Korea,2016,2016-07-08,TV-14,Crime,158.0,
s23,TV Show,Title_23,Spain,2019,2021-11-16,PG-13,Thriller,,2.0
s546,TV Show,Title_546,South Korea,2021,2021-11-18,PG-13,Horror,,5.0
s456,Movie,Title_456,United States,2024,2024-03-26,TV-Y7,Comedy,133.0,
s351,Movie,Title_351,,2019,2021-04-25,R,Crime,94.0,
s533,TV Show,Title_533,Mexico,2012,2014-02-10,TV-MA,Kids,,8.0
s699,TV Show,Title_699,South Korea,2014,2014-10-27,PG,Romance,,6.0
s787,Movie,Title_787,Spain,2020,2021-09-18,PG-13,Action,131.0,
s432,Movie,Title_432,Mexico,2023,2023-01-01,TV-14,Comedy,77.0,
s371,Movie,Title_371,Germany,2011,2012-09-23,TV-MA,Horror,109.0,
s64,Movie,Title_64,Australia,2019,2019-07-22,TV-14,Thriller,122.0,
s689,TV Show,Title_689,Japan,2022,2023-06-21,R,Kids,,2.0
s197,Movie,Title_197,South Korea,2021,2022-12-13,R,Comedy,85.0,
s463,Movie,Title_463,Australia,2020,2021-01-11,TV-MA,Action,109.0,
s241,Movie,Title_241,Canada,2018,2018-10-03,R,Drama,107.0,
s299,TV Show,Title_299,Japan,2017,2017-02-19,G,Kids,,2.0
s568,Movie,Title_568,South Korea,2023,2024-01-06,TV-14,Documentary,122.0,
s214,Movie,Title_214,Australia,2015,2016-12-21,PG-13,Comedy,100.0,
s557,Movie,Title_557,India,2020,2020-08-08,TV-MA,Horror,143.0,
s108,Movie,Title_108,Germany,2008,2009-05-15,G,Drama,80.0,
s61,Movie,Title_61,Brazil,2024,2024-08-15,TV-MA,Romance,140.0,
s586,Movie,Title_586,United Kingdom,2024,2024-03-10,TV-Y,Action,122.0,
s491,TV Show,Title_491,South Korea,2019,2021-04-13,G,Crime,,3.0
s710,Movie,Title_710,Canada,2018,2020-07-21,R,Romance,123.0,
s698,TV Show,Title_698,Canada,2008,2009-09-05,R,Drama,,3.0
s402,Movie,Title_402,India,2024,2024-09-01,TV-MA,Drama,147.0,
s676,Movie,Title_676,Japan,2019,2020-12-18,TV-PG,Documentary,86.0,
s429,TV Show,Title_429,South Korea,2022,2023-11-21,TV-14,Kids,,7.0
s235,TV Show,Title_235,Spain,2008,2010-11-01,R,Documentary,,2.0
s422,Movie,Title_422,Canada,2020,2021-06-06,TV-MA,Sci-Fi,159.0,
s368,TV Show,Title_368,Germany,2024,2024-04-03,R,Kids,,1.0
s791,Movie,Title_791,United States,2020,2020-04-24,PG-13,Romance,124.0,
s147,Movie,Title_147,Germany,2016,2017-10-20,TV-14,Comedy,155.0,
s66,TV Show,Title_66,Spain,2020,2022-09-17,R,Horror,,6.0
s550,Movie,Title_550,United Kingdom,2017,2019-01-01,R,Kids,98.0,
s591,Movie,Title_591,Australia,2014,2015-11-22,TV-Y,Action,102.0,
s478,Movie,Title_478,Japan,2021,2023-07-04,TV-MA,Horror,118.0,
s142,Movie,Title_142,South Korea,2016,2017-03-11,TV-MA,Comedy,166.0,
s437,Movie,Title_437,Mexico,2019,2020-03-25,PG,Sci-Fi,127.0,
s265,Movie,Title_265,Canada,2016,2017-11-07,TV-PG,Documentary,173.0,
s761,Movie,Title_761,France,2019,2020-11-23,TV-PG,Thriller,132.0,
s85,TV Show,Title_85,Canada,2017,2018-02-14,TV-14,Crime,,5.0
s765,Movie,Title_765,Brazil,2019,2019-04-11,PG-13,Kids,147.0,
s611,Movie,Title_611,Mexico,2023,2023-02-08,TV-MA,Documentary,100.0,
s159,Movie,Title_159,,2020,2021-10-18,PG-13,Kids,89.0,
s347,Movie,Title_347,India,2021,2021-12-14,TV-MA,Horror,160.0,
s233,Movie,Title_233,Australia,2019,2020-11-05,TV-MA,Thriller,70.0,
s369,TV Show,Title_369,United Kingdom,2021,2021-07-27,TV-MA,Sci-Fi,,3.0
s391,Movie,Title_391,United Kingdom,2022,2022-07-15,TV-14,Action,72.0,
s147,Movie,Title_147,Germany,2016,2017-10-20,TV-14,Comedy,155.0,
s628,Movie,Title_628,Brazil,2017,2017-07-11,TV-MA,Action,160.0,
s473,TV Show,Title_473,Germany,2020,2022-02-25,TV-PG,Horror,,3.0
s183,TV Show,Title_183,Spain,2019,2019-07-13,TV-PG,Horror,,3.0
s91,Movie,Title_91,,2018,2018-09-07,R,Comedy,154.0,
s538,TV Show,Title_538,India,2022,2024-01-10,TV-MA,Anime,,2.0
s123,TV Show,Title_123,Mexico,2021,2022-09-10,TV-MA,Kids,,8.0
s192,Movie,Title_192,Japan,2021,2022-06-11,TV-PG,Crime,157.0,
